id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
15,8915,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,JAGUNG PIPIL KERING,0,RP/KG,2020
15,9015,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,2020-01,KEDELAI,0,RP/KG,2020
16,9116,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,BERAS MEDIUM,8844,RP/KG,2020
16,9216,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,BERAS PREMIUM,10000,RP/KG,2020
16,9316,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,GABAH KERING GILING,5800,RP/KG,2020
16,9416,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,GABAH KERING PANEN,0,RP/KG,2020
16,9516,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,JAGUNG PIPIL KERING,0,RP/KG,2020
16,9616,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,KEDELAI,0,RP/KG,2020
17,9717,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,BERAS MEDIUM,8898,RP/KG,2020
17,9817,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,BERAS PREMIUM,9600,RP/KG,2020
17,9917,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,GABAH KERING GILING,5533,RP/KG,2020
17,10017,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,GABAH KERING PANEN,4995,RP/KG,2020
17,10117,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,JAGUNG PIPIL KERING,4620,RP/KG,2020
17,10217,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,2020-01,KEDELAI,6420,RP/KG,2020
18,10318,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,BERAS MEDIUM,8694,RP/KG,2020
18,10418,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,BERAS PREMIUM,10257,RP/KG,2020
18,10518,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,GABAH KERING GILING,5842,RP/KG,2020
18,10618,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,GABAH KERING PANEN,4861,RP/KG,2020
18,10718,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,JAGUNG PIPIL KERING,3843,RP/KG,2020
18,10818,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,2020-01,KEDELAI,6000,RP/KG,2020
19,10919,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,BERAS MEDIUM,8775,RP/KG,2020
19,11019,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,BERAS PREMIUM,9200,RP/KG,2020
19,11119,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,GABAH KERING GILING,5875,RP/KG,2020
19,11219,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,GABAH KERING PANEN,5050,RP/KG,2020
19,11319,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,JAGUNG PIPIL KERING,3538,RP/KG,2020
19,11419,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,KEDELAI,0,RP/KG,2020
20,11520,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,BERAS MEDIUM,8800,RP/KG,2020
20,11620,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,BERAS PREMIUM,0,RP/KG,2020
20,11720,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,GABAH KERING GILING,5643,RP/KG,2020
20,11820,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,GABAH KERING PANEN,4628,RP/KG,2020
20,11920,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,JAGUNG PIPIL KERING,4950,RP/KG,2020
20,12020,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,2020-01,KEDELAI,0,RP/KG,2020
21,12121,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,BERAS MEDIUM,7850,RP/KG,2020
21,12221,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,BERAS PREMIUM,9800,RP/KG,2020
21,12321,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,GABAH KERING GILING,1400,RP/KG,2020
21,12421,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,GABAH KERING PANEN,4900,RP/KG,2020
21,12521,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,JAGUNG PIPIL KERING,4500,RP/KG,2020
21,12621,35,JAWA TIMUR,3521,KABUPATEN NGAWI,2020-01,KEDELAI,6500,RP/KG,2020
22,12722,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,BERAS MEDIUM,9000,RP/KG,2020
22,12822,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,BERAS PREMIUM,10000,RP/KG,2020
22,12922,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,GABAH KERING GILING,5900,RP/KG,2020
22,13022,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,GABAH KERING PANEN,5083,RP/KG,2020
22,13122,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,JAGUNG PIPIL KERING,4600,RP/KG,2020
22,13222,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,2020-01,KEDELAI,6600,RP/KG,2020
23,13323,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,BERAS MEDIUM,8676,RP/KG,2020
23,13423,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,BERAS PREMIUM,10300,RP/KG,2020
23,13523,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,GABAH KERING GILING,5848,RP/KG,2020
23,13623,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,GABAH KERING PANEN,4994,RP/KG,2020
23,13723,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,JAGUNG PIPIL KERING,4520,RP/KG,2020
23,13823,35,JAWA TIMUR,3523,KABUPATEN TUBAN,2020-01,KEDELAI,6500,RP/KG,2020
24,13924,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2020-01,BERAS MEDIUM,9141,RP/KG,2020
24,14024,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2020-01,BERAS PREMIUM,10102,RP/KG,2020
24,14124,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2020-01,GABAH KERING GILING,5627,RP/KG,2020
24,14224,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2020-01,GABAH KERING PANEN,4764,RP/KG,2020
24,14324,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2020-01,JAGUNG PIPIL KERING,4091,RP/KG,2020
24,14424,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,2020-01,KEDELAI,6437,RP/KG,2020
25,14525,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2020-01,BERAS MEDIUM,8964,RP/KG,2020
25,14625,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2020-01,BERAS PREMIUM,10200,RP/KG,2020
25,14725,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2020-01,GABAH KERING GILING,0,RP/KG,2020
25,14825,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2020-01,GABAH KERING PANEN,0,RP/KG,2020
25,14925,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2020-01,JAGUNG PIPIL KERING,0,RP/KG,2020
25,15025,35,JAWA TIMUR,3525,KABUPATEN GRESIK,2020-01,KEDELAI,0,RP/KG,2020
26,15126,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-01,BERAS MEDIUM,8869,RP/KG,2020
26,15226,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-01,BERAS PREMIUM,10464,RP/KG,2020
26,15326,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-01,GABAH KERING GILING,5500,RP/KG,2020
26,15426,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-01,GABAH KERING PANEN,4700,RP/KG,2020
26,15526,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-01,JAGUNG PIPIL KERING,4590,RP/KG,2020
26,15626,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,2020-01,KEDELAI,0,RP/KG,2020
27,15727,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2020-01,BERAS MEDIUM,7650,RP/KG,2020
27,15827,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2020-01,BERAS PREMIUM,0,RP/KG,2020
27,15927,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2020-01,GABAH KERING GILING,0,RP/KG,2020
27,16027,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2020-01,GABAH KERING PANEN,0,RP/KG,2020
27,16127,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2020-01,JAGUNG PIPIL KERING,4760,RP/KG,2020
27,16227,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,2020-01,KEDELAI,0,RP/KG,2020
28,16328,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2020-01,BERAS MEDIUM,9000,RP/KG,2020
28,16428,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2020-01,BERAS PREMIUM,8000,RP/KG,2020
28,16528,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2020-01,GABAH KERING GILING,4600,RP/KG,2020
28,16628,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2020-01,GABAH KERING PANEN,0,RP/KG,2020
28,16728,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2020-01,JAGUNG PIPIL KERING,4050,RP/KG,2020
28,16828,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,2020-01,KEDELAI,5400,RP/KG,2020
29,16929,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2020-01,BERAS MEDIUM,0,RP/KG,2020
29,17029,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2020-01,BERAS PREMIUM,0,RP/KG,2020
29,17129,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2020-01,GABAH KERING GILING,4125,RP/KG,2020
29,17229,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2020-01,GABAH KERING PANEN,0,RP/KG,2020
29,17329,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2020-01,JAGUNG PIPIL KERING,4500,RP/KG,2020
29,17429,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,2020-01,KEDELAI,5750,RP/KG,2020
30,17530,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,BERAS MEDIUM,8721,RP/KG,2020
30,17630,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,BERAS PREMIUM,0,RP/KG,2020
30,17730,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,GABAH KERING GILING,0,RP/KG,2020
30,17830,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,GABAH KERING PANEN,0,RP/KG,2020
30,17930,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,JAGUNG PIPIL KERING,0,RP/KG,2020
30,18030,35,JAWA TIMUR,3571,KOTA KEDIRI,2020-01,KEDELAI,0,RP/KG,2020
31,18131,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,BERAS MEDIUM,9789,RP/KG,2020
31,18231,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,BERAS PREMIUM,9790,RP/KG,2020
31,18331,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,GABAH KERING GILING,0,RP/KG,2020
31,18431,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,GABAH KERING PANEN,0,RP/KG,2020
31,18531,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,JAGUNG PIPIL KERING,4376,RP/KG,2020
31,18631,35,JAWA TIMUR,3572,KOTA BLITAR,2020-01,KEDELAI,0,RP/KG,2020
32,18732,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,BERAS MEDIUM,17300,RP/KG,2020
32,18832,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,BERAS PREMIUM,8088,RP/KG,2020
32,18932,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,GABAH KERING GILING,5878,RP/KG,2020
32,19032,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,GABAH KERING PANEN,5128,RP/KG,2020
32,19132,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,JAGUNG PIPIL KERING,4556,RP/KG,2020
32,19232,35,JAWA TIMUR,3573,KOTA MALANG,2020-01,KEDELAI,0,RP/KG,2020
33,19333,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,BERAS MEDIUM,8800,RP/KG,2020
33,19433,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,BERAS PREMIUM,0,RP/KG,2020
33,19533,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,GABAH KERING GILING,0,RP/KG,2020
33,19633,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,GABAH KERING PANEN,0,RP/KG,2020
33,19733,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,JAGUNG PIPIL KERING,4374,RP/KG,2020
33,19833,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,2020-01,KEDELAI,0,RP/KG,2020
34,19934,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,BERAS MEDIUM,8800,RP/KG,2020
34,20034,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,BERAS PREMIUM,0,RP/KG,2020
34,20134,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,GABAH KERING GILING,0,RP/KG,2020
34,20234,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,GABAH KERING PANEN,0,RP/KG,2020
34,20334,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,JAGUNG PIPIL KERING,0,RP/KG,2020
34,20434,35,JAWA TIMUR,3575,KOTA PASURUAN,2020-01,KEDELAI,0,RP/KG,2020
35,20535,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,BERAS MEDIUM,8500,RP/KG,2020
35,20635,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,BERAS PREMIUM,0,RP/KG,2020
35,20735,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,GABAH KERING GILING,0,RP/KG,2020
35,20835,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,GABAH KERING PANEN,0,RP/KG,2020
35,20935,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,JAGUNG PIPIL KERING,0,RP/KG,2020
35,21035,35,JAWA TIMUR,3576,KOTA MOJOKERTO,2020-01,KEDELAI,0,RP/KG,2020
36,21136,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,BERAS MEDIUM,11071,RP/KG,2020
36,21236,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,BERAS PREMIUM,9200,RP/KG,2020
36,21336,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,GABAH KERING GILING,5600,RP/KG,2020
36,21436,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,GABAH KERING PANEN,5000,RP/KG,2020
36,21536,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,JAGUNG PIPIL KERING,0,RP/KG,2020
36,21636,35,JAWA TIMUR,3577,KOTA MADIUN,2020-01,KEDELAI,0,RP/KG,2020
37,21737,35,JAWA TIMUR,3578,KOTA SURABAYA,2020-01,BERAS MEDIUM,0,RP/KG,2020
37,21837,35,JAWA TIMUR,3578,KOTA SURABAYA,2020-01,BERAS PREMIUM,12336,RP/KG,2020
37,21937,35,JAWA TIMUR,3578,KOTA SURABAYA,2020-01,GABAH KERING GILING,0,RP/KG,2020
37,22037,35,JAWA TIMUR,3578,KOTA SURABAYA,2020-01,GABAH KERING PANEN,0,RP/KG,2020
